region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENG_CT,NENG_CT_naturalgas_ccavgcf_mid_0,1,0,42,2539.0491025199817,0.0,287.1012032215505,0.0,178.67941452026366,1801.7590183673285,0.0,217.03583667949636,0.0,10230.991,0.0,376,0.0,6694.67052041459,0.0,10606.9912109375,11718.295095723211,-1111.3038847857115
NENG_CT,NENG_CT_naturalgas_ctavgcf_mid_0,1,0,43,464.63254209415675,0.0,39.43806547690591,0.0,45.37407709121704,258.210431030612,0.0,121.09952192305798,0.0,871.1111,0.0,92,0.0,983.7710557284278,0.0,963.111083984375,1912.5256933443775,-949.4146093600025
NENG_CT,NENG_CT_battery_mid_0,1,0,44,3.297078870997533e6,6.469547768146847e6,824101.3620063788,1.6169555238073075e6,18757.725,0.0,22161.772883458594,0.0,5.3696115e6,1.5932399e7,0.0,1685270,0.0,0.0,0.0,1.7617669e7,1.7618214522841524e7,-545.5228415243328
NENG_CT,NENG_CT_naturalgas_ccs100_mid_0,1,0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_CT,NENG_CT_landbasedwind_ltrg1_mid_110_1,1,1,46,356.8914728404859,0.0,79.90409633799658,0.0,0.0,0.0,0.0,0.0,0.0,168.61621,0.0,2,0.0,0.0,0.0,170.6162109375,436.7955691784825,-266.1793582409825
NENG_CT,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,1,1,47,2.7271242773276687e8,0.0,3.6096772252651505e7,0.0,0.0,0.0,0.0,0.0,0.0,3.0721126e8,0.0,1597844,0.0,0.0,0.0,3.08809108e8,3.088091999854184e8,-91.9854183793068
NENG_CT,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,1,1,48,317.48340625834976,0.0,117.41558345470938,0.0,0.0,0.0,0.0,0.0,0.0,289.29318,0.0,3,0.0,0.0,0.0,292.2931823730469,434.8989897130591,-142.60580734001223
NENG_ME,NENG_ME_naturalgas_ccccsavgcf_mid_0,1,0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_ME,NENG_ME_naturalgas_ccavgcf_mid_0,1,0,50,2539.049102519962,0.0,287.1012032215483,0.0,178.67941452026366,1801.759018367316,0.0,217.0358366794937,0.0,10230.991,0.0,376,0.0,6694.67052041455,0.0,10606.9912109375,11718.295095723133,-1111.3038847856333
NENG_ME,NENG_ME_naturalgas_ctavgcf_mid_0,1,0,51,464.63254209415766,0.0,39.43806547690599,0.0,45.37407709121704,258.21043103061186,0.0,121.09952192305761,0.0,871.1111,0.0,92,0.0,983.7710557284271,0.0,963.111083984375,1912.5256933443773,-949.4146093600023
NENG_ME,NENG_ME_battery_mid_0,1,0,52,3.2970788709480385e6,6.469547767995972e6,824101.3619940078,1.616955523769599e6,18757.725,0.0,22161.772882968075,0.0,5.3696115e6,1.5932399e7,0.0,1685270,0.0,0.0,0.0,1.7617669e7,1.7618214522590585e7,-545.522590585053
NENG_ME,NENG_ME_naturalgas_ccs100_mid_0,1,0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NENG_ME,NENG_ME_landbasedwind_ltrg1_mid_110_1,1,1,54,1.5245933497897047e8,0.0,2.7108473229010712e7,0.0,0.0,0.0,0.0,0.0,0.0,1.13768904e8,0.0,892568,0.0,0.0,6.4905996892181166e7,1.7956746889218116e8,1.7956780820798117e8,-339.315800011158
NENG_ME,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,1,1,55,4.3755626597243655e8,0.0,5.7871832029158905e7,0.0,0.0,0.0,0.0,0.0,0.0,4.9168333e8,0.0,3744675,0.0,0.0,0.0,4.95428003e8,4.9542809800159544e8,-95.0015954375267
NENGREST,NENGREST_heat_load_shifting_1,1,1,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0339732e7,5.2393716e7,0.0,2266202,0.0,0.0,0.0,5.4659918e7,4.0339732e7,1.4320186e7
NENG_CT,NENG_CT_heat_load_shifting_1,1,1,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1462051e7,1.4905739e7,0.0,647210,0.0,0.0,0.0,1.5552949e7,1.1462051e7,4.090898e6
NENG_ME,NENG_ME_heat_load_shifting_1,1,1,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.474032e6,7.1172285e6,0.0,308999,0.0,0.0,0.0,7.4262275e6,5.474032e6,1.9521955e6
NENGREST,NENGREST_Fusion,1,1,59,1.7182163374239525e8,0.0,8.422629105019376e7,0.0,0.0,0.0,0.0,2.7241118969170082e7,0.0,1.1656812e9,0.0,41529529,0.0,0.0,0.0,1.207210681e9,2.832890437617591e8,9.23921637238241e8
