Resource,NENGREST_Fusion,Total
Zone,1,0
t251,154912.31092689233,154912.31092689233
t252,156416.68729466284,156416.68729466284
t253,157921.06397441405,157921.06397441405
t254,159425.44087215693,159425.44087215693
t255,160929.8181876182,160929.8181876182
t256,159118.08038752325,159118.08038752325
t257,156879.09893229938,156879.09893229938
t258,154640.1155369076,154640.1155369076
t259,152401.13292805402,152401.13292805402
t260,150162.15088664813,150162.15088664813
t261,147923.16936748367,147923.16936748367
t262,145684.18837206782,145684.18837206782
t263,143445.2084512356,143445.2084512356
t264,144002.72213242383,144002.72213242383
t265,145507.1031350675,145507.1031350675
t266,147011.4857538082,147011.4857538082
t267,148515.86895760347,148515.86895760347
t268,150020.25258621995,150020.25258621995
t269,151524.636783657,151524.636783657
t270,153029.0191469182,153029.0191469182
t271,150790.04611294056,150790.04611294056
t272,148551.06748141226,148551.06748141226
t273,146312.08857064354,146312.08857064354
t274,144073.10942578185,144073.10942578185
t275,141834.12993714248,141834.12993714248
t276,139878.7145512045,139878.7145512045
t277,139409.84005625325,139409.84005625325
t278,140144.49076309588,140144.49076309588
t279,141462.92322772378,141462.92322772378
t280,141705.7433019474,141705.7433019474
t281,139466.7625001998,139466.7625001998
t282,137227.78154452716,137227.78154452716
t283,134988.7992927446,134988.7992927446
t284,132749.81674828895,132749.81674828895
t285,130510.83454913192,130510.83454913192
t286,128271.8521997646,128271.8521997646
t287,126032.86929979624,126032.86929979624
t288,123793.88640983483,123793.88640983483
t289,121554.9035737228,121554.9035737228
t290,119315.92128268667,119315.92128268667
t291,117076.93932457188,117076.93932457188
t292,114837.9575684677,114837.9575684677
t293,112598.9760383131,112598.9760383131
t294,110359.99485116095,110359.99485116095
t295,108121.01403638894,108121.01403638894
t296,105882.03353911225,105882.03353911225
t297,103643.05342578377,103643.05342578377
t298,101404.07334171595,101404.07334171595
t299,102908.45724337081,102908.45724337081
t300,104412.83699013237,104412.83699013237
t301,105917.24042702002,105917.24042702002
t302,107421.64381652337,107421.64381652337
t303,108926.04721962562,108926.04721962562
t304,110430.44962447735,110430.44962447735
t305,108614.4226968424,108614.4226968424
t306,106375.44091630609,106375.44091630609
t307,104136.46049975087,104136.46049975087
t308,101897.48060518032,101897.48060518032
t309,99658.5015181214,99658.5015181214
t310,97419.5236664823,97419.5236664823
t311,96916.13015076736,96916.13015076736
t312,98420.5466915841,98420.5466915841
t313,99924.96897677504,99924.96897677504
t314,101429.39567922578,101429.39567922578
t315,102933.8251207221,102933.8251207221
t316,104438.25853911412,104438.25853911412
t317,105942.69478188454,105942.69478188454
t318,107447.13493981959,107447.13493981959
t319,108951.57707273592,108951.57707273592
t320,107219.8600192057,107219.8600192057
t321,107226.94879887521,107226.94879887521
t322,111226.88084847736,111226.88084847736
t323,115226.85343715452,115226.85343715452
t324,119226.83556904862,119226.83556904862
t325,123226.81770126769,123226.81770126769
t326,127226.79974899844,127226.79974899844
t327,131226.78152952125,131226.78152952125
t328,135226.76215073947,135226.76215073947
t329,135233.8167785299,135233.8167785299
t330,132994.83409981412,132994.83409981412
t331,130755.85251572178,130755.85251572178
t332,128516.87108165899,128516.87108165899
t333,126277.88984946732,126277.88984946732
t334,124038.90869045102,124038.90869045102
t335,121799.92815494035,121799.92815494035
t336,119560.94830999894,119560.94830999894
t337,117321.97022104816,117321.97022104816
t338,116816.50576085449,116816.50576085449
t339,118440.08585725033,118440.08585725033
t340,120063.70227034646,120063.70227034646
t341,121687.33870906947,121687.33870906947
t342,123296.27064653234,123296.27064653234
t343,123114.68385155124,123114.68385155124
t344,121722.60506679941,121722.60506679941
t345,124132.58667087342,124132.58667087342
t346,128132.57830482894,128132.57830482894
t347,132132.57062677268,132132.57062677268
t348,136132.56314999223,136132.56314999223
t349,140132.55564849376,140132.55564849376
t350,144132.547986791,144132.547986791
t351,148132.54005124015,148132.54005124015
t352,152132.53144424234,152132.53144424234
t353,153886.4580367574,153886.4580367574
t354,151647.4775610588,151647.4775610588
t355,149408.49654948554,149408.49654948554
t356,147169.5153640526,147169.5153640526
t357,144930.53505425472,144930.53505425472
t358,142691.55499171154,142691.55499171154
