,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t5020,10632.2129828039,0.006582223582749667,-0.007475614032728393,86.81537743489916,-168.70746072773375,5.437018217584017e-5,1.1511288980477765e-5,0.0,0.0,-10550.0
t5021,10466.820403837746,0.007384251134307057,-0.006319083571788364,103.90641972774972,-75.40788265225842,5.420888474947036e-5,1.1234893173877698e-5,0.0,0.0,-10495.0
t5022,10526.172353693592,0.007397907563996323,-0.0068705015640504324,104.71637173217819,-53.56924540873672,5.411512947742969e-5,1.124653727854278e-5,0.0,0.0,-10577.0
t5023,10691.838349119642,0.00905723989462799,-0.005453474976792601,106.53643269346733,-38.05837915688788,5.44003803163255e-5,1.1251605356703964e-5,0.0,0.0,-10760.0
t5024,11390.028512787145,0.009890105324747928,-0.005318134402881768,113.46613352085335,-42.17921241328257,5.4672668546887664e-5,1.1295894013213785e-5,0.0,0.0,-11461.0
t5025,12925.106918265936,0.0037065901199597987,-340.81052156372107,90.48476060546959,-216.4648519116953,5.392495169794962e-5,1.1280529627940643e-5,0.0,0.0,-12458.0
t5026,13653.034490723943,0.003953427900626401,-247.96039025137222,95.36423015362412,-148.12227298523888,5.440795604248852e-5,1.1048668782485556e-5,0.0,0.0,-13352.0
t5027,14569.240320998253,0.003941897570275197,-349.0439569124163,92.01227553091728,-341.8925712567754,5.4770867639412227e-5,1.1023660514288588e-5,0.0,0.0,-13970.0
t5028,14374.101069789884,0.010307920653094419,-0.006191948050927217,113.6221187119799,-53.40729880283161,5.6541794600269764e-5,1.1019757531885947e-5,0.0,0.0,-14434.0
t5029,14642.363021427007,0.011466657333437989,-0.004052282070813067,118.47006476553966,-46.52049908489061,5.938397198681675e-5,1.12613005100966e-5,0.0,0.0,-14714.0
t5030,14744.776159976265,0.010144459477711372,-0.004811266378318204,107.80250469109428,-104.26399691619251,5.948408378272063e-5,1.1278727106519473e-5,0.0,0.0,-14748.0
t5031,14684.953702130024,0.009271224804313192,-0.004583056487158778,107.70649049169518,-91.34487586420654,5.6828586782835e-5,1.0911439445755568e-5,0.0,0.0,-14701.0
t5032,14651.63567954133,0.008571325136233737,-0.00480596575861307,103.3459213912298,-122.66536188165499,5.65056116453734e-5,1.1041481700859884e-5,0.0,0.0,-14632.0
