Segment,1,2,3,4,Total
t80,1.1404175083277247e-5,1.0227269564211417e-5,1.418702550994526e-5,3.57170058262654e-5,1.1404175083277247e-5
t81,1.1048311671172382e-5,9.975216775504983e-6,1.3543678099720286e-5,3.104196268502688e-5,1.1048311671172382e-5
t82,1.1327664306019158e-5,1.005164576965551e-5,1.3771419606768139e-5,3.2062286716098026e-5,1.1327664306019158e-5
t83,1.1482989293385587e-5,1.0052881354709468e-5,1.3833776426682853e-5,3.225578743383419e-5,1.1482989293385587e-5
t84,1.1536738167668918e-5,1.0028796543190564e-5,1.3730985033587194e-5,3.226805808115824e-5,1.1536738167668918e-5
t85,1.1726919867916116e-5,1.0044933050707468e-5,1.3853839825351753e-5,3.258338623941979e-5,1.1726919867916116e-5
t86,1.1616427459794332e-5,9.987767207154505e-6,1.3611998263945184e-5,3.2141482869140156e-5,1.1616427459794332e-5
t87,1.167708041841166e-5,9.894001558564891e-6,1.3387046293320623e-5,3.122086256509657e-5,1.167708041841166e-5
t88,1.1340741914258925e-5,9.987233718441843e-6,1.4124518900797804e-5,3.338395304709203e-5,1.1340741914258925e-5
t89,1.1040544145832249e-5,1.0011292408467454e-5,1.4295025950776907e-5,3.5359006899432914e-5,1.1040544145832249e-5
t90,1.1009414452332746e-5,1.0087833425071357e-5,1.4524393397879155e-5,3.631933869145731e-5,1.1009414452332746e-5
t91,1.123712988809947e-5,1.0822560532915598e-5,1.6304046994150594e-5,6.29144699518432e-5,1.123712988809947e-5
t92,1.0718424566559337e-5,1.002912398136855e-5,1.4241106647259798e-5,3.611255937239686e-5,1.0718424566559337e-5
t93,1.1091691583725462e-5,9.969153933577896e-6,1.4081492197166707e-5,3.538686318550316e-5,1.1091691583725462e-5
t94,1.1258383196338687e-5,1.0079147901774469e-5,1.4721636659441189e-5,3.654384555809896e-5,1.1258383196338687e-5
t95,1.1251500600352352e-5,9.785293212967719e-6,1.3660163190669819e-5,3.147190004763556e-5,1.1251500600352352e-5
t96,1.1097913300190408e-5,9.65109047624223e-6,1.315460622330265e-5,3.109332797940069e-5,1.1097913300190408e-5
t97,1.1133119707793889e-5,9.542123550329175e-6,1.2912394045146506e-5,3.1228656600210624e-5,1.1133119707793889e-5
t98,1.1221709492392422e-5,9.50591639981333e-6,1.2855859209047575e-5,3.139561811139437e-5,1.1221709492392422e-5
t99,1.1266186357280388e-5,9.506413535352002e-6,1.2867595225677372e-5,3.160507325640598e-5,1.1266186357280388e-5
t100,1.1329955855097836e-5,9.499482153011186e-6,1.2846167370115389e-5,3.150690222826091e-5,1.1329955855097836e-5
t101,1.1150031455915875e-5,9.509895490960086e-6,1.2846405123068546e-5,3.1719227794478896e-5,1.1150031455915875e-5
t102,1.1176701993185176e-5,9.756923136570747e-6,1.3383475188615841e-5,3.419210955277104e-5,1.1176701993185176e-5
t103,1.1046818626945539e-5,9.915922931858358e-6,1.3913509228074097e-5,3.414432168617703e-5,1.1046818626945539e-5
t104,1.1636918991805003e-5,1.066439554675239e-5,1.5901579171501698e-5,5.373276244089256e-5,1.1636918991805003e-5
t105,1.0978253339469032e-5,9.995213845633895e-6,1.4246793452680565e-5,3.411794995981146e-5,1.0978253339469032e-5
t106,1.1085239422114368e-5,9.825095428976045e-6,1.3451480543332178e-5,3.300810250803854e-5,1.1085239422114368e-5
t107,1.1201375754968878e-5,1.0149496780070997e-5,1.4012177204560337e-5,3.662176147378898e-5,1.1201375754968878e-5
t108,1.103765729238726e-5,9.993302292316925e-6,1.3651172660901605e-5,3.359411760657201e-5,1.103765729238726e-5
